epoch,train_loss_mean,train_task_loss_mean,train_dom_loss_mean,val_rmse,grl_lambda_last,lr,target_city
1,1.8220981704561334,1.4830134134543569,1.695423728541324,10.515567779541016,0.009249736191320634,0.0008,贵阳市
2,1.7439457146744979,1.4177004741994959,1.631226188258121,10.490097045898438,0.018747803043321465,0.0008,贵阳市
3,1.6814389793496383,1.3825350309673108,1.494519685444079,10.480021476745605,0.028242487309687814,0.0008,贵阳市
4,1.6488991944413436,1.3517255500743264,1.4858681528191817,10.460389137268066,0.0377320781793582,0.0008,贵阳市
5,1.627959756474746,1.3364120753187883,1.4577383744089227,10.461066246032715,0.04721486851358714,0.0008,贵阳市
6,1.6076091778905768,1.3118542401414168,1.4787746228669818,10.478878021240234,0.056689156072175395,0.0008,贵阳市
7,1.6144227040441412,1.3106792302508103,1.5187173140676398,10.438090324401855,0.0661532447322093,0.0008,贵阳市
8,1.611145788117459,1.312836645465148,1.4915456269916736,10.473963737487793,0.07560544569746064,0.0008,贵阳市
1,1.521165945028004,1.1787916359148527,1.7118714985094572,5.757320404052734,0.009249736191320634,0.0008,遵义市
2,1.464863099549946,1.131505450135783,1.6667882015830593,5.754173278808594,0.018747803043321465,0.0008,遵义市
3,1.4429293651329844,1.1179821193218231,1.624736183568051,5.7040839195251465,0.028242487309687814,0.0008,遵义市
4,1.3920460876665617,1.0801662332133244,1.5593992534436678,5.747225761413574,0.0377320781793582,0.0008,遵义市
5,1.3622072401799654,1.0602743358988511,1.5096644351356907,5.711256504058838,0.04721486851358714,0.0008,遵义市
6,1.3409032100125362,1.0481047049949044,1.4639924701891447,5.719954013824463,0.056689156072175395,0.0008,遵义市
7,1.338277888925452,1.0480026163552936,1.4513762624640214,5.690154552459717,0.0661532447322093,0.0008,遵义市
8,1.3317598041735197,1.0396298781821602,1.4606495907432155,5.7454986572265625,0.07560544569746064,0.0008,遵义市
1,1.770610467383736,1.4422574984399896,1.6417647913882607,9.688241004943848,0.009249736191320634,0.0008,六盘水市
2,1.6289326172125966,1.3239339292049408,1.5249933945505243,9.664401054382324,0.018747803043321465,0.0008,六盘水市
3,1.593998604699185,1.2773591703490208,1.5831971419484991,9.635714530944824,0.028242487309687814,0.0008,六盘水市
4,1.5385934334052236,1.2385902232245396,1.5000159614964534,9.6810302734375,0.0377320781793582,0.0008,六盘水市
5,1.5181157965409129,1.2223777865108691,1.478689996819747,9.669511795043945,0.04721486851358714,0.0008,六盘水市
6,1.4989875523667586,1.2096731223558124,1.4465721531918174,9.689007759094238,0.056689156072175395,0.0008,六盘水市
7,1.4839837300150018,1.1935236516751742,1.452300322683234,9.652349472045898,0.0661532447322093,0.0008,六盘水市
8,1.4817466861323307,1.1856904641578072,1.4802810267398232,9.608019828796387,0.07560544569746064,0.0008,六盘水市
1,1.9751590208003396,1.6214976216617383,1.7683069329512746,11.565147399902344,0.009249736191320634,0.0008,安顺市
2,1.8686368873244839,1.5313092125089545,1.6866382799650494,11.534393310546875,0.018747803043321465,0.0008,安顺市
3,1.7852347744138617,1.4582852909439488,1.634747354607833,11.609963417053223,0.028242487309687814,0.0008,安顺市
4,1.764491733751799,1.4273508693042554,1.685704281455592,11.538683891296387,0.0377320781793582,0.0008,安顺市
5,1.741794206594166,1.410861267855293,1.6546646921258223,11.58029842376709,0.04721486851358714,0.0008,安顺市
6,1.7231802908997786,1.3914964889225208,1.6584189565558183,11.560271263122559,0.056689156072175395,0.0008,安顺市
7,1.7138145252277976,1.3814595027973777,1.661775087055407,11.536725997924805,0.0661532447322093,0.0008,安顺市
8,1.7007144909155996,1.3722578789058484,1.6422829878957648,11.546720504760742,0.07560544569746064,0.0008,安顺市
1,1.4710088027151007,1.1445803955981606,1.6321420167621814,5.834758758544922,0.009249736191320634,0.0008,毕节市
2,1.3702389660634493,1.0545191357010288,1.5785991267154091,5.838478088378906,0.018747803043321465,0.0008,毕节市
3,1.340838002531152,1.0226927823142002,1.590726049322831,5.844207286834717,0.028242487309687814,0.0008,毕节市
4,1.3058889053369824,0.9993932090307537,1.5324784329063015,5.8376593589782715,0.0377320781793582,0.0008,毕节市
5,1.3074811367612136,0.9942946418335563,1.5659324244449013,5.830575942993164,0.04721486851358714,0.0008,毕节市
6,1.2998801783511513,0.9868719624845605,1.565040989925987,5.854503631591797,0.056689156072175395,0.0008,毕节市
7,1.2973597504590686,0.9889681496118244,1.5419579556113796,5.878572940826416,0.0661532447322093,0.0008,毕节市
8,1.2946568680436987,0.976931725677691,1.5886256569310238,5.8627424240112305,0.07560544569746064,0.0008,毕节市
1,2.007076310484033,1.6619864733595597,1.7254492107190584,6.893023490905762,0.009249736191320634,0.0008,铜仁市
2,1.9151423102930973,1.5810191647002572,1.670615748355263,6.894367218017578,0.018747803043321465,0.0008,铜仁市
3,1.8754387027338932,1.5465330010966252,1.6445284391704358,6.86724328994751,0.028242487309687814,0.0008,铜仁市
4,1.8242792612627934,1.5121854606427645,1.5604689748663652,6.877975940704346,0.0377320781793582,0.0008,铜仁市
5,1.8046271016723232,1.4931813415728117,1.5572287910862972,6.888115882873535,0.04721486851358714,0.0008,铜仁市
6,1.7918344171423661,1.489472718615281,1.5118084957725124,6.894598960876465,0.056689156072175395,0.0008,铜仁市
7,1.7805375174472207,1.4833918119731702,1.485728514821906,6.8873610496521,0.0661532447322093,0.0008,铜仁市
8,1.766466093690772,1.466508587724284,1.4997874812075966,6.910004615783691,0.07560544569746064,0.0008,铜仁市
1,1.9885799288749695,1.6364258559126603,1.7607702957956415,7.913055419921875,0.009249736191320634,0.0008,黔西南州
2,1.9001727072816146,1.5507603381809436,1.7470618800113076,7.878852844238281,0.018747803043321465,0.0008,黔西南州
3,1.8506291257707697,1.5075674323659194,1.715308339972245,7.854959011077881,0.028242487309687814,0.0008,黔西南州
4,1.7890258964739347,1.4688001306433427,1.6011288291529606,7.871496200561523,0.0377320781793582,0.0008,黔西南州
5,1.7630927405859296,1.440782954818324,1.6115488755075555,7.880588054656982,0.04721486851358714,0.0008,黔西南州
6,1.7669649720191956,1.4401136605363143,1.6342564633018093,7.900433540344238,0.056689156072175395,0.0008,黔西南州
7,1.7350543392331976,1.4204526355392055,1.5730084870990955,7.903891563415527,0.0661532447322093,0.0008,黔西南州
8,1.7227169181171216,1.4059266793100458,1.583951146979081,7.844722747802734,0.07560544569746064,0.0008,黔西南州
1,2.282060594935166,1.952132523059845,1.6496403342799137,8.669312477111816,0.009249736191320634,0.0008,黔东南州
2,2.1417438983917236,1.819507310264989,1.611182965730366,8.603641510009766,0.018747803043321465,0.0008,黔东南州
3,2.079856194947895,1.7674326488846226,1.5621177271792763,8.637868881225586,0.028242487309687814,0.0008,黔东南州
4,2.0086283746518587,1.709617373190428,1.4950549477025081,8.595593452453613,0.0377320781793582,0.0008,黔东南州
5,1.9790617792229903,1.6858663025655245,1.4659774177952816,8.621179580688477,0.04721486851358714,0.0008,黔东南州
6,1.9663388007565548,1.6668055873168142,1.4976660075940584,8.589035034179688,0.056689156072175395,0.0008,黔东南州
7,1.9557619847749408,1.6605505253139294,1.476057253385845,8.584379196166992,0.0661532447322093,0.0008,黔东南州
8,1.9443508135645013,1.6510404128777354,1.466552031667609,8.681051254272461,0.07560544569746064,0.0008,黔东南州
1,1.9918084458300942,1.6726879320646588,1.5956025374563116,10.981292724609375,0.009249736191320634,0.0008,黔南州
2,1.8581695180190236,1.5657974261986582,1.461860455964741,10.977188110351562,0.018747803043321465,0.0008,黔南州
3,1.8095692176567881,1.5234737631521726,1.4304772427207546,10.956193923950195,0.028242487309687814,0.0008,黔南州
4,1.7466313587991815,1.4704478132097345,1.380917699713456,10.940581321716309,0.0377320781793582,0.0008,黔南州
5,1.7363987659153186,1.4601148100275743,1.3814197339509662,10.911445617675781,0.04721486851358714,0.0008,黔南州
6,1.7106352636688633,1.443859399933564,1.333879270051655,11.030173301696777,0.056689156072175395,0.0008,黔南州
7,1.6937399381085445,1.426943030796553,1.3339844753867702,10.950983047485352,0.0661532447322093,0.0008,黔南州
8,1.7076999607839083,1.4337058035950911,1.3699707232023541,10.928330421447754,0.07560544569746064,0.0008,黔南州
